Parameter,Type,Min,Max,Default,Description,Example
Infectious_Period_Kappa,float,1.17549E-38,3.40282E+38,-1,"The shape value for the infectious period, in days, when **Infectious_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-kappa.json)
Infectious_Period_Lambda,float,1.17549E-38,3.40282E+38,-1,"The scale value for the infectious period, in days, when **Infectious_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-lambda.json)
Infectious_Period_Log_Normal_Mu,float,-3.40282e+38,1.70141e+38,3.40282e+38,"The mean of the natural log of the infectious period, in days, when **Infectious_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-log-normal-mu.json)
Infectious_Period_Log_Normal_Sigma,float,-3.40282e+38,1.70141e+38,3.40282e+38,"The standard deviation of the natural log of the infectious period, in days, when **Infectious_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-log-normal-sigma.json)
Infectious_Period_Max,float,0,3.40282E+38,-1,"The maximum infectious period, in days, when **Infectious_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-max.json)
Infectious_Period_Mean_1,float,1.17549E-38,3.4E+38,-1,"The mean of the first exponential distribution, in days, when **Infectious_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-mean-1.json)
Infectious_Period_Mean_2,float,1.17549E-38,3.40282E+38,-1,"The mean of the second exponential distribution, in days, when **Infectious_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-mean-2.json)
Infectious_Period_Min,float,0,3.40282E+38,-1,"The minimum infectious period, in days, when **Infectious_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-min.json)
Infectious_Period_Peak_2_Value,float,0,3.40282E+38,-1,"The infectious period value, in days, to assign to the remaining individuals when **Infectious_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-peak-2-value.json)
Infectious_Period_Poisson_Mean,float,0,3.40282E+38,-1,"The mean of the infectious period, in days, when **Infectious_Period_Distribution** is set to POISSON_DISTRIBUTION.",[link](../json/config-infectivity-malaria-infectious-period-poisson-mean.json)
Infectious_Period_Proportion_0,float,0,1,-1,The proportion of individuals to assign a value of zero days infectiousness when **Infectious_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,[link](../json/config-infectivity-malaria-infectious-period-proportion-0.json)
Infectious_Period_Proportion_1,float,0,1,-1,The proportion of individuals in the first exponential distribution when **Infectious_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,[link](../json/config-infectivity-malaria-infectious-period-proportion-1.json)
Infectivity_Exponential_Baseline,float,0,1,0,"The scale factor applied to **Base_Infectivity** at the beginning of a simulation, before the infectivity begins to grow exponentially. **Infectivity_Scale_Type** must be set to EXPONENTIAL_FUNCTION_OF_TIME.",[link](../json/config-infectivity-malaria-infectivity-exponential-baseline.json)
Malaria_Strain_Model,enum,NA,NA,FALCIPARUM_NONRANDOM_STRAIN,"The generator that is used to construct the antigenic repertoire of a malaria infection. To create parasite diversity, various antigenic strains are created by conducting draws for [merozoite surface protein (MSP)](../glossary.md) variants, [Plasmodium falciparum erythrocyte membrane protein 1 (PfEMP1)](../glossary.md) variants, and minor surface epitopes, out of available populations. Each possible value for this parameter utilizes different settings for the available population draws.
Possible values are: 
FALCIPARUM_NONRANDOM_STRAIN
    The strain created uses the exact same MSP variant, non-specific PfEMP1 variant, and ordered repertoire of PfEMP1 major epitopes. Minor surface protein epitopes are randomly drawn from a set of 5.
FALCIPARUM_RANDOM50_STRAIN
    Strain creation extends the logic used for FALCIPARUM_NONRANDOM_STRAIN, but increases variation by randomly drawing PfEMP1 variants from a population of 50, and allowing the variants to have a random switching order. Random draws are done with replacement. 
FALCIPARUM_RANDOM_STRAIN
    The MSP variant is drawn from the population set by the parameter **Falciparum_MSP_Variants**, a repertoire of 50 PfEMP1 variants is drawn from the population set by the parameter **Falciparum_PfEMP1_Variants**, and the set of five minor surface protein epitope variants is drawn from the population set by the parameter **Falciparum_Nonspecific_Types**.
FALCIPARUM_STRAIN_GENERATOR
    This is an exploratory effort created to provide a pseudo-random generation of strains similar to FALCIPARUM_RANDOM_STRAIN, but with variant indices deterministically assigned according to the strain ID.",[link](../json/config-infectivity-malaria-malaria-strain-model.json)
Maternal_Infection_Transmission_Probability,float,0,1,0,"The probability of transmission of infection from mother to infant at birth. **Enable_Maternal_Infection_Transmission** must be set to 1. 
!!! note
    For malaria and vector simulations, set this to 0. Instead, use the **Maternal_Antibody_Protection**, **Maternal_Antibody_Decay_Rate**, and **Maternal_Antibodies_Type** parameters.",[link](../json/config-infectivity-malaria-maternal-infection-transmission-probability.json)
Max_Individual_Infections,integer,0,1000,1,The limit on the number of infections that an individual can have simultaneously. **Enable_Superinfection** must be set to 1.,[link](../json/config-infectivity-malaria-max-individual-infections.json)
Population_Density_C50,float,0,3.40E+38,10,The population density at which R0 for a 2.5-arc minute square reaches half of its initial value. **Population_Density_Infectivity_Correction** must be set to SATURATING_FUNCTION_OF_DENSITY.,[link](../json/config-infectivity-malaria-population-density-c50.json)
Population_Density_Infectivity_Correction,enum,NA,NA,CONSTANT_INFECTIVITY,"Correction to alter infectivity by population density set in the **Population_Density_C50** parameter. Measured in people per square kilometer. 
Possible values are:
* CONSTANT_INFECTIVITY
* SATURATING_FUNCTION_OF_DENSITY
!!! note
    Sparsely populated areas have a lower infectivity, while densely populated areas have a higher infectivity, which rises to saturate at the **Base_Infectivity** value.",[link](../json/config-infectivity-malaria-population-density-infectivity-correction.json)
Pyrogenic_Threshold,float,0.1,20000,1000,"The level of bloodstream infection, measured in IRBC per microliter, at which stimulation of the innate inflammatory immune response is half its maximum value.",[link](../json/config-infectivity-malaria-pyrogenic-threshold.json)
Relative_Sample_Rate_Immune,float,0.001,1,0.1,"The relative sampling rate for people who have acquired immunity through recovery or vaccination. The immune threshold at which to downsample is set by **Immune_Threshold_For_Downsampling**. If set to 1, this will have no effect, even if the individual's immunity modifier is below threshold. This can be a useful sanity check while learning this feature. **Individual_Sampling_Type** must be set to ADAPTED_SAMPLING_BY_IMMUNE_STATE. ",[link](../json/config-infectivity-malaria-relative-sample-rate-immune.json)
Susceptibility_Type,enum,NA,NA,FRACTIONAL,"Controls implementation of an individual's susceptibility. Currently only relevant to **Maternal_Protection_Type** parameter. Possible values are:
FRACTIONAL
    All agents are assigned equal values between 0 and 1 according to a governing equation as specified by **Maternal_Protection_Type**.
BINARY
    Agents receive a value of either 0 or 1 (complete immunity or susceptibility) with the probability determined by a governing equation as specified by **Maternal_Protection_Type**. ",[link](../json/config-infectivity-malaria-susceptibility-type.json)
Symptomatic_Infectious_Offset,float,-3.40282e+38,3.40282e+38,3.40282e+38,"Amount of time, in days, after the infectious period starts that symptoms appear. Negative values imply an individual is symptomatic before infectious. If this offset is greater than the infectious duration, the infection will not be symptomatic. For example, if **Incubation_Period_Constant** is set to 10 and **Symptomatic_Infectious_Offset** is set to 4, then an infected person would become symptomatic 14 days after transmission.",[link](../json/config-infectivity-malaria-symptomatic-infectious-offset.json)
Transmission_Blocking_Immunity_Decay_Rate,float,0,1000,0.001,The rate at which transmission-blocking immunity decays after the base transmission-blocking immunity offset period. Used only when **Enable_Immunity** and **Enable_Immune_Decay** parameters are set to true (1).,[link](../json/config-infectivity-malaria-transmission-blocking-immunity-decay-rate.json)
Transmission_Blocking_Immunity_Duration_Before_Decay,float,0,45000,0,The number of days after infection until transmission-blocking immunity begins to decay. Only used when **Enable_Immunity** and **Enable_Immune_Decay** parameters are set to true (1).,[link](../json/config-infectivity-malaria-transmission-blocking-immunity-duration-before-decay.json)
Transmission_Rate,float,0,1,0.5,"The probability that the bite of an infected mosquito establishes a new infection in an immunologically naive and uninfected individual, or the modifier of the probability of success for an individual with pre-erythrocytic immunity. Note that each mosquito species will have their own **Transmission_Rate** parameter. ",[link](../json/config-infectivity-malaria-transmission-rate.json)
