SpatialRepellentHousingModification,"Malaria, Vector",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-spatialrepellenthousingmodification.html
StandardInterventionDistributionEventCoordinator,"Generic, Malaria, Vector, STI, HIV",Event Coordinator,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-standardinterventiondistributioneventcoordinator.html
SugarTrap,"Malaria, Vector",Intervention,Node,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-node-sugartrap.html
SurveillanceEventCoordinator,"Generic, Malaria, Vector, STI, HIV",Event Coordinator,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-surveillanceeventcoordinator.html
TriggeredEventCoordinator,"Generic, Malaria, Vector, STI, HIV",Event Coordinator,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-event-triggeredeventcoordinator.html
UsageDependentBednet,"Malaria, Vector",Intervention,Individual,https://institutefordiseasemodeling.github.io/Documentation/malaria/parameter-campaign-individual-usagedependentbednet.html
WaningEffectBox,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
WaningEffectBoxExponential,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
WaningEffectCombo,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
WaningEffectConstant,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
WaningEffectExponential,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
WaningEffectMapLinear,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
WaningEffectMapLinearAge,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
WaningEffectMapLinearSeasonal,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
WaningEffectMapPiecewise,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
WaningEffectRandomBox,"Generic, Malaria, Vector, STI, HIV",Intervention,,https://institutefordiseasemodeling.github.io/Documentation/general/parameter-campaign-waningeffects.html
