Parameter,Type,Min,Max,Default,Description,Example
Duration_Before_Leaving_Max,float,0,3.40282E+38,-1,"The maximum duration before leaving the origin node, in days, when **Duration_Before_Leaving_Distribution** is set to UNIFORM_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-max.json)
Duration_Before_Leaving_Mean_1,float,1.17549E-38,3.40282E+38,-1,"The mean of the first exponential distribution, in days, when **Duration_Before_Leaving_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-mean-1.json)
Duration_Before_Leaving_Mean_2,float,1.17549E-38,3.40282E+38,-1,"The mean of the second exponential distribution, in days, when **Duration_Before_Leaving_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-mean-2.json)
Duration_Before_Leaving_Min,float,0,3.40282E+38,-1,"The minimum duration before leaving the origin node, in days, when **Duration_Before_Leaving_Distribution** is set to UNIFORM_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-min.json)
Duration_Before_Leaving_Peak_2_Value,float,0,3.40282E+38,-1,"The duration before leaving the origin node, in days, to assign to the remaining individuals when **Duration_Before_Leaving_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-peak-2-value.json)
Duration_Before_Leaving_Poisson_Mean,float,0,3.40282E+38,-1,"The mean of the duration before leaving the origin node, in days, when **Duration_Before_Leaving** is set to POISSON_DISTRIBUTION.",[link](../json/campaign-migrateindividuals-duration-before-leaving-poisson-mean.json)
Duration_Before_Leaving_Proportion_0,float,0,1,-1,The proportion of individuals to assign a value of zero days before leaving the origin node when **Duration_Before_Leaving_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,[link](../json/campaign-migrateindividuals-duration-before-leaving-proportion-0.json)
Duration_Before_Leaving_Proportion_1,float,0,1,-1,The proportion of individuals in the first exponential distribution when **Duration_Before_Leaving_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,[link](../json/campaign-migrateindividuals-duration-before-leaving-proportion-1.json)
Intervention_Name,string,NA,NA,MigrateIndividuals,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-migrateindividuals-intervention-name.json)
Is_Moving,boolean,0,1,0,"Set to true (1) to indicate the individual is permanently moving to a new home node for intervention-based migration. Once at the new home node, the person will be available for new round trips.",[link](../json/campaign-migrateindividuals-is-moving.json)
New_Property_Value,string,NA,NA,"""""","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See [IndividualProperties and NodeProperties](parameter-demographics.md#nodeproperties-and-individualproperties) parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-migrateindividuals-new-property-value.json)
NodeID_To_Migrate_To,integer,0,4294970000.0,0,The destination node ID for intervention-based migration.,[link](../json/campaign-migrateindividuals-nodeid-to-migrate-to.json)
